669577419
2
1111111111111
false
13
192.168.1.5,DNS entrada,ANY,*.*.*.*,53,53
*.*.*.*,DNS saida,ANY,192.168.1.5,53,53
192.168.1.114,HTTP entrada,TCP,*.*.*.*,80,80
*.*.*.*,HTTP saida,TCP,192.168.1.114,80,80
192.168.1.74,VOIP entrada,TCP,*.*.*.*,38287,38287
*.*.*.*,VOIP saida,TCP,192.168.1.74,38287,38287
192.168.1.68,Chat entrada,TCP,*.*.*.*,5222,5222
*.*.*.*,Chat saida,TCP,192.168.1.68,5222,5222
192.168.1.136,Email entrada,TCP,*.*.*.*,25,25
*.*.*.*,Email saida,TCP,192.168.1.136,25,25
192.168.1.233,DB entrada,TCP,*.*.*.*,3306,3306
*.*.*.*,DB saida,TCP,192.168.1.233,3306,3306
*.*.*.*,HTTP Lan saida,TCP,192.168.2.*,80,80
0
false
9
192.168.1.5,DNS saida,ANY,192.168.2.*,53,53
*.*.*.*,HTTP saida,TCP,192.168.2.*,80,80
192.168.1.68,Chat saida,TCP,192.168.2.*,5222,5222
192.168.2.*,Chat entrada,TCP,192.168.1.68,5222,5222
192.168.1.74,VOIP saida,TCP,192.168.2.*,38287,38287
192.168.2.*,VOIP entrada,TCP,192.168.1.74,38287,38287
192.168.1.136,Email saida,TCP,192.168.2.*,25,25
192.168.2.*,Email entrada,TCP,192.168.1.136,25,25
192.168.1.233,DB saida,TCP,192.168.2.*,3306,3306
0
